WORD,BROWN_FREQ,WORD_CATEGORY
NEGOTIATION      ,20,N
NOMINAL          ,20,J
PHOTOGRAPHIC     ,20,J
POETIC           ,20,J
SHERRY           ,20,N
TRICKY           ,20,J
UNUSED           ,20,J
WOW              ,20,N
BREW             ,21,N
BREW             ,21,V
DOME             ,21,N
EXAGGERATION     ,21,N
FABULOUS         ,21,J
ISOLATION        ,21,N
LOCKER           ,21,N
MUSH             ,21,N
MUSH             ,21,V
PEDESTRIAN       ,21,J
PEDESTRIAN       ,21,N
PERILOUS         ,21,J
PRINTER          ,21,N
SARCASM          ,21,N
ADJECTIVE        ,22,N
BONY             ,22,J
CINEMA           ,22,N
EARL             ,22,N
FELLOWSHIP       ,22,N
GENIAL           ,22,J
RESTORATION      ,22,N
SITUATED         ,22,J
WIDOWER          ,22,N
AUGUST           ,23,J
AUGUST           ,23,N
CHUNK            ,23,N
COMPILE          ,23,V
COMPULSORY       ,23,J
MONASTERY        ,23,N
NICK             ,23,N
NICK             ,23,V
RAYON            ,23,N
REPRINT          ,23,N
REPRINT          ,23,V
TRANSFORMATION   ,23,N
TWELFTH          ,23,J
AERIAL           ,24,J
AERIAL           ,24,N
ATHLETIC         ,24,J
DIAGNOSIS        ,24,N
DUBIOUS          ,24,J
HYSTERICS        ,24,N
LECTURER         ,24,N
LIBRARIAN        ,24,N
MENTALITY        ,24,N
NICHE            ,24,N
NOBILITY         ,24,N
PRACTISE         ,24,V
REVEREND         ,24,N
SLOT             ,24,N
SLOT             ,24,V
SOD              ,24,N
ANONYMOUS        ,25,J
CIVILIAN         ,25,J
CIVILIAN         ,25,N
ELEMENTARY       ,25,J
FIDDLE           ,25,N
FIDDLE           ,25,V
GROTESQUE        ,25,J
IMPOSING         ,25,J
MINISTRY         ,25,N
RICKETS          ,25,N
SEVENTEENTH      ,25,J
STATELY          ,25,J
SYMPHONY         ,25,N
TRANSLATION      ,25,N
UNLIKELY         ,25,J
COLLECTIVE       ,26,J
DEFINITION       ,26,N
EXTERNAL         ,26,J
IDEALISM         ,26,N
INEFFICIENT      ,26,J
SIDEWAYS         ,26,J
STRAIGHTFORWARD  ,26,J
TUTOR            ,26,N
TUTOR            ,26,V
VERBAL           ,26,J
VOCABULARY       ,26,N
ARISTOCRAT       ,27,N
BLIZZARD         ,27,N
CANCER           ,27,N
FORTNIGHT        ,27,N
INHERITANCE      ,27,N
JUNCTION         ,27,N
REVERT           ,27,V
DIPLOMATIC       ,28,J
DIPLOMATIC       ,28,N
GREY             ,28,J
LOUSY            ,28,J
MERGE            ,28,V
MIDGET           ,28,J
NEGATIVE         ,28,J
NEGATIVE         ,28,N
NEGATIVE         ,28,V
NINETEENTH       ,28,J
OBSOLETE         ,28,J
PUB              ,28,N
SEQUENCE         ,28,N
VOLUNTARY        ,28,J
VOLUNTARY        ,28,N
WIRELESS         ,28,J
WIRELESS         ,28,N
AMENDMENT        ,29,N
ARISTOCRATIC     ,29,J
CRAZE            ,29,N
CULTURAL         ,29,J
GEOGRAPHY        ,29,N
INCENTIVE        ,29,N
MALICIOUS        ,29,J
NICKNAME         ,29,N
NICKNAME         ,29,V
STARTER          ,29,N
TEDIOUS          ,29,J
ACADEMIC         ,30,J
BOOKCASE         ,30,N
BRANDY           ,30,N
CHOIR            ,30,N
DENTAL           ,30,J
DENTAL           ,30,N
DIRE             ,30,J
INCAPABLE        ,30,J
MATHEMATICS      ,30,N
POISONOUS        ,30,J
SCOPE            ,30,N
SLACK            ,30,J
SLACK            ,30,N
SLACK            ,30,V
STATISTICAL      ,30,J
SUPERFICIAL      ,30,J
CHARACTERIZE     ,31,V
CHILLY           ,31,J
CHILLY           ,31,N
DIPLOMA          ,31,N
EMBARK           ,31,V
FRAUD            ,31,N
HANDWRITING      ,31,N
INTOLERABLE      ,31,J
MEDIEVAL         ,31,J
PERSPECTIVE      ,31,J
PERSPECTIVE      ,31,N
PRO              ,31,N
RESIDENTIAL      ,31,J
RUBBISH          ,31,N
WITHDRAWN        ,31,V
BONUS            ,32,N
CONCEIVABLE      ,32,J
FESTIVAL         ,32,N
GRANDSON         ,32,N
QUARRY           ,32,N
QUARRY           ,32,V
UNSATISFACTORY   ,32,J
UNTOUCHED        ,32,J
WITTY            ,32,J
ADVENT           ,33,N
EXCESSIVE        ,33,J
HECTIC           ,33,J
INTENSIVE        ,33,J
LAYMAN           ,33,N
MUMMY            ,33,N
REPRODUCE        ,33,V
TWENTIETH        ,33,J
WAREHOUSE        ,33,N
WAREHOUSE        ,33,V
ACCESS           ,34,N
COMPARATIVE      ,34,J
COMPARATIVE      ,34,N
DRAINAGE         ,34,N
ILLEGAL          ,34,J
POTTERY          ,34,N
UNJUST           ,34,J
WEIRD            ,34,J
COLLEAGUE        ,35,N
DISPOSAL         ,35,N
HORRID           ,35,J
REGIME           ,35,N
SETTING          ,35,N
SHORTAGE         ,35,N
TERMINAL         ,35,J
TERMINAL         ,35,N
UNBELIEVABLE     ,35,J
ALTERNATIVE      ,36,J
ALTERNATIVE      ,36,N
CARRIER          ,36,N
COMMUNICATE      ,36,V
EXCEPTIONAL      ,36,J
IMPERIAL         ,36,J
IMPERIAL         ,36,N
INTERNAL         ,36,J
RECESS           ,36,N
SURGERY          ,36,N
CHEMISTRY        ,37,N
CLASH            ,37,N
CLASH            ,37,V
DISASTROUS       ,37,J
DISPENSE         ,37,V
EIGHTEENTH       ,37,J
EIGHTEENTH       ,37,N
ESSAY            ,37,N
ESSAY            ,37,V
HOLDING          ,37,N
MALT             ,37,N
MALT             ,37,V
PROCEEDS         ,37,N
CORE             ,38,N
CORE             ,38,V
CYNICAL          ,38,J
PRESENTATION     ,38,N
COMPETITIVE      ,39,J
DISTINCTIVE      ,39,J
ENDING           ,39,N
FOUL             ,39,J
FOUL             ,39,N
FOUL             ,39,V
GUARDIAN         ,39,N
PARTITION        ,39,N
PARTITION        ,39,V
